date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
16-Nov,110.016,111.454,79.423,95.641,101.036,89.231,104.639,105.587,88.148,98.797,101.998,88.554,99.32,102.391,88.554,126.919,134.788,99.231,102.287,88.554,93.927,94.446,3.6,27613,26761.9,438.1,266.2,136.2,146.8,10.6,88.29523245,83.03421263,93.36912079,72,82,87,85,92,98.8,106.6334,96.6,90.5,143329,85086.4,58242.6,762639.7,2406393.5,1.42,1.53,1.511,1.609,1.739,1.965,2.021,1.25,8.128,1161.64,169.9825735,1074.17,1254.4,1443.39,864.34,1166.29,96.237,90.621,97.329,94.587,97.289,98.469,99.461,93.512,95.72,98.02,101.07,97.78,103.24,130.21,89.11,73.98,100.78,113.39,100.23,1983.48,596.11,2.5,45.66,0.454,242.026,3.04,2.14,88.7,90.1,12.8
16-Dec,110.275,112.885,77.956,94.324,100.282,86.748,102.696,105.922,85.626,97.429,101.226,85.629,97.76,101.617,85.629,117.874,136.768,97.669,101.515,85.629,91.792,94.075,3.4,27211,26347,443.5,268.3,135.9,152.2,16.3,88.35302724,83.09569017,93.42299849,72,82,86,85,94,97.4,104.4155,97.2,91.2,143555,85676,57879.1,776589.6,2414040.9,1.54,1.65,1.576,1.692,1.873,2.159,2.162,1.25,8.281,1182.28,170.9699907,1019.36,1245.51,1474.54,885.3,1158.86,96.342,91.581,97.758,94.661,97.347,99.389,99.5,93.069,96.16,99.49,101.28,99.16,104.72,147.99,107.59,74.92,102.73,117.84,103.33,2026.46,631.44,2.5,51.97,0.583,242.637,3.13,2.49,89.1,90.3,11.51
17-Jan,107.73,108.15,76.166,95.51,102.166,88.134,101.834,106.592,85.537,100.121,102.095,86.013,100.104,102.391,86.013,123.77,139.145,100.054,102.287,86.013,94.541,95.836,3.4,26886,25878.3,615.3,274.6,103.5,117.8,14.3,88.36820805,83.10353605,93.44558293,72,84,85,84,93,100.1,103.6154,97.1,89.4,143864.7,85371.8,58492.9,781441,2417807.6,1.5,1.67,1.496,1.643,1.821,2.111,2.104,1.25,8.281,1185.1,171.116675,1029.58,1257.71,1459,895.5,1173.28,97.366,94.346,97.252,93.915,98.349,101.389,99.783,96.075,104.87,101.33,101.6,101.75,106.41,166.79,111.23,75.53,104.5,115.27,104.6,2067.57,616.13,2.8,52.5,0.615,243.618,3.16,2.43,89.5,90.5,12.53
17-Feb,107.918,107.159,76.858,95.737,99.435,88.481,102.183,104.916,86.77,98.991,98.814,86.826,98.819,98.813,86.826,123.21,133.996,98.663,98.714,86.826,97.141,98.154,3.9,27320.9,25979.3,942.7,277.5,111.9,121.5,9.6,88.38138739,83.119064,93.45633644,75,86,85,85,91,99,107.9663,97.1,91.6,150122.2,90574.4,59547.8,776362.5,2420285.6,1.49,1.64,1.465,1.665,1.861,2.163,2.13,1.25,8.331,1144.92,166.0236701,1012.77,1219.46,1431.03,874.09,1143.84,97.632,94.434,97.853,94.988,98.349,101.969,99.939,96.175,104.91,101.35,101.21,101.76,103.18,165.47,108.82,77.02,102.13,113.8,103.11,2091.64,612.2,2.7,53.47,0.698,244.006,3.19,2.42,90,90.7,10.64
17-Mar,109.873,110.793,79.878,95.285,99.812,88.833,107.144,109.832,88.984,100.638,100.937,87.11,100.853,101.037,87.11,123.877,134.656,100.747,100.935,87.11,98.606,99.266,3.7,27579.3,26442.5,707.5,287,128.8,142.4,13.6,88.4311038,83.18398542,93.49046124,79,89,88,85,89,100.6,110.8628,97.8,93.5,144791.7,87977.1,56814.6,789187.8,2436994.7,1.48,1.64,1.485,1.709,1.909,2.221,2.208,1.25,8.413,1134.77,164.4708064,1004.41,1213.1,1399.98,847.85,1132.29,97.565,93.606,97.882,95.575,98.252,101.779,100.183,96.211,105.77,101.19,101.27,101.73,102.49,165.66,101.52,75.4,100.65,114.17,101.75,2160.23,619.28,2.6,49.33,0.736,243.892,3.21,2.48,90.4,91,11.06
17-Apr,109.977,109.692,77.268,94.632,98.117,91.041,105.455,109.721,88.743,98.862,100.068,88.79,99.24,100.167,88.79,119.14,131.488,99.162,100.066,88.79,97.795,99.544,3.9,27911.4,26744.2,624,406.4,123.8,136.7,12.9,88.51702972,83.30541723,93.54009798,81,90,88,88,92,98.9,108.921,97.9,88.9,149831.7,89141.4,60690.3,791859.3,2450220.9,1.43,1.63,1.467,1.678,1.859,2.182,2.195,1.25,8.411,1132.73,164.670264,1029.02,1213.41,1429.89,844.08,1131.56,97.442,92.611,96.967,95.314,97.944,101.309,100.271,95.796,103.04,100.77,101.36,101.07,100.94,161.8,103.51,80.67,100.29,115.52,102.44,2205.44,628.24,2.6,51.06,0.715,244.193,3.21,2.3,90.8,91.3,12.27
17-May,111.628,112.115,82.624,96.926,99.718,92.987,102.986,105.363,90.225,99.205,99.393,91.293,99.518,99.297,91.293,125.329,130.168,99.353,99.197,91.293,99.576,100.285,3.5,27986.7,26991.9,480,396.1,105.6,118.7,13.1,88.64394852,83.47780054,93.62055592,81,90,88,86,90,99.2,109.4424,98.1,90.2,149984.7,90021.6,59963.1,791074.8,2454386.7,1.39,1.62,1.464,1.69,1.906,2.257,2.216,1.25,8.443,1125.28,163.4349413,1002.87,1245.11,1453.64,828.21,1141.11,97.546,92.312,98.234,95.883,97.973,101.239,100.3,96.202,105.1,100.21,101.26,100.78,98.79,163.49,99.73,83.04,98.93,120.49,101.2,2347.38,652.04,2.5,48.48,0.793,244.004,3.26,2.3,91,91.6,13.18
17-Jun,112.81,114.978,82.986,93.006,99.247,90.197,103.811,102.346,90.409,97.341,99.779,89.043,97.573,99.78,89.043,126.805,125.547,97.416,99.68,89.043,98.666,99.915,3.7,28080.5,27019.9,513.8,420,110.4,126.7,16.4,88.83170731,83.77049938,93.70160933,82,88,88,87,89,97.3,108.0378,98.4,92.9,150773,90798,59975,798890.2,2470861.1,1.38,1.6,1.461,1.673,1.864,2.165,2.208,1.25,8.444,1130.04,166.1405702,1019.24,1268.83,1445.72,849.3,1167.06,97.338,91.643,98.358,96.563,98.435,100.539,100.329,95.696,104.29,99.66,101.25,100.2,98.91,156.18,91.76,85.9,98.68,123.02,100.94,2391.79,669.04,2.6,45.18,0.704,244.163,3.22,2.19,91.5,91.8,12
17-Jul,107.374,108.15,86.27,94.517,99.435,89.689,103.78,106.369,92.199,98.273,99.586,89.232,97.827,99.297,89.232,118.068,107.857,97.826,99.293,89.232,105.312,105.198,3.5,28036.6,27078.4,477.2,304.4,165.1,176.6,11.5,88.99186997,84.01201625,93.77922221,78,88,87,86,91,98.3,110.4905,98.1,90.8,151989.6,91639.3,60350.3,804853.4,2472110.4,1.39,1.59,1.464,1.74,1.942,2.252,2.278,1.25,8.52,1134.4,167.1849529,1008.68,1305.93,1473.63,891.64,1181.95,97.499,91.907,97.691,95.491,98.483,99.939,100.339,95.931,100.85,99.65,101.42,99.81,99.57,139.32,94.29,84.44,99.44,123.46,102.07,2402.71,650.47,2.5,46.63,0.788,244.243,3.28,2.32,91.8,92,12.79
17-Aug,103.954,103.414,89.17,95.474,100.942,89.801,100.237,105.587,91.138,97.754,100.647,90.196,97.575,100.554,90.196,115.486,112.742,97.474,100.549,90.196,100.506,100.749,4,27903.3,26904.3,502,314.7,171.4,182.2,10.8,89.21206759,84.33560523,93.89473635,78,86,88,85,91,97.8,108.4588,99.2,91,152645.5,92486.4,60159.1,805103.3,2485629.9,1.39,1.59,1.471,1.78,1.987,2.287,2.32,1.25,8.565,1130.79,169.532134,1029.7,1336.51,1466.61,897.22,1171.76,98.058,94.645,98.387,95.743,98.493,100.269,100.378,95.85,100.57,100.01,101.84,100.1,98.45,136.35,99.23,84.1,100.66,124.53,102.67,2363.19,657.83,2.6,48.04,0.816,245.183,3.28,2.21,92.2,92.3,13.64
17-Sep,104.027,105.837,90.648,96.928,101.13,89.44,103.501,107.486,88.94,98.733,100.84,89.988,99.027,100.94,89.988,118.131,121.058,98.928,100.839,89.988,100.173,99.637,3.7,27942.7,27010.7,498.5,272.5,145,161,16,89.32290298,84.46643276,93.98519712,80,88,87,86,90,98.7,112.5585,100.1,93.9,155968.8,95332.8,60636,810904.8,2492388.2,1.38,1.59,1.481,1.785,1.989,2.286,2.333,1.25,8.576,1131.59,172.2637727,1022.47,1347.86,1504.79,920.68,1176.44,98.172,95.825,98.444,96.013,97.963,100.859,100.407,95.868,103.47,101.06,102.02,101.37,98.13,131.62,106.11,82.35,102.13,126.34,103.83,2394.47,652.82,2.6,49.82,0.805,246.435,3.24,2.2,92.4,92.6,13.41
17-Oct,104.158,103.855,90.425,98.326,101.695,92.515,102.397,105.587,89.614,98.952,101.419,92.402,99.158,101.327,92.402,115.048,118.022,99.151,101.322,92.402,100.368,102.324,3.7,27919.7,27026.3,462,285.5,131.8,146,14.3,89.44015327,84.63230917,94.05331762,79,85,86,85,90,99,111.5311,98.6,92.2,156309.7,93828.8,62480.9,826892.1,2504594.2,1.38,1.59,1.654,2.026,2.247,2.455,2.574,1.25,8.823,1131.57,170.6891372,1001.7,1331.28,1493.41,897.7,1150.98,98.077,93.465,98.444,96.544,97.809,101.789,100.417,96.139,104.72,101.9,101.47,102.24,98.61,133.5,109.82,78.95,102.48,123.44,104.38,2523.43,694.2,2.6,51.58,0.801,246.626,3.33,2.36,92.8,92.8,12.06
17-Nov,104.342,105.837,89.62,96.626,102.072,92.514,104.174,106.704,88.039,99.325,102.867,92.134,99.164,102.681,92.134,115.287,113.93,99.174,102.674,92.134,102.865,104.92,3.7,27889,27018.5,419.4,291.4,148.5,159.6,11.2,89.55680514,84.84391005,94.07448699,81,90,88,87,91,99.3,108.2907,99.4,92.8,157187.9,95673.2,61514.7,817624.5,2521786.3,1.45,1.7,1.787,2.15,2.355,2.54,2.709,1.5,8.959,1105.04,166.1317233,978.92,1296.16,1460.65,865.63,1113.95,97.347,90.859,98.396,96.181,97.559,101.949,100.446,95.778,103.81,101.64,101.06,101.92,96.89,135.25,117.44,76.55,101.25,118.39,102.76,2476.37,771.42,2.5,56.64,0.753,247.284,3.39,2.35,93,93,13.2
17-Dec,99.787,102.643,93.508,95.076,97.175,94.067,98.816,102.793,89.36,97.016,98.332,93.524,96.13,97.846,93.524,115.926,110.761,96.123,97.844,93.524,103.663,105.939,3.6,27516.4,26603.7,464.7,291.3,140.6,156.7,16.1,89.65846408,85.05899143,94.06205154,81,88,88,87,91,97,109.1843,99.2,94.4,158827.8,96011.6,62816.2,830003.7,2527641.3,1.66,1.8,1.833,2.1,2.298,2.472,2.649,1.5,8.909,1085.78,164.2454076,961.24,1284.44,1455.32,849.44,1099.38,97.698,91.951,99.073,96.33,97.694,102.289,100.476,95.877,106.7,101.56,101.01,102.16,95.69,140.45,116.89,77.3,100.32,116.18,101.22,2467.49,798.42,2.5,57.88,0.639,247.805,3.42,2.4,93.1,93.3,12.06
18-Jan,108.592,107.709,94.433,95.06,100,94.395,101.029,101.453,90.453,98.979,100.551,93.553,98.53,100.264,93.553,109.118,99.804,98.486,100.259,93.553,103.603,106.31,3.3,27232.3,26212.5,602.7,269.5,125.1,147.6,22.5,89.78721183,85.36418416,94.01399863,79,91,86,86,90,99,116.647,99.4,91.6,157474.9,96740.9,60734,830732.7,2551196,1.66,1.8,1.839,2.19,2.444,2.626,2.722,1.5,8.985,1066.7,165.9025333,960.65,1299.57,1471.78,857.35,1108.28,98.106,93.324,98.501,96.489,98.714,102.789,100.856,95.787,107.04,101.84,101.12,102.45,94.84,149.62,123.39,78.82,99.77,112.1,101,2566.46,913.57,2.6,63.7,0.787,248.859,3.47,2.58,93.4,93.6,14.54
18-Feb,107.794,106.938,93.552,94.631,99.435,93.982,102.762,105.028,90.937,99.772,99.682,93.441,99.307,99.297,93.441,111.257,102.18,99.253,99.197,93.441,104.848,108.256,3.7,27348.3,26082.8,826.3,285,138.5,154.1,15.6,89.96409613,85.75366313,93.97880791,78,87,84,83,92,99.8,109.6983,100.6,94.1,159875.3,96860.8,63014.6,839555.3,2570764.6,1.65,1.8,1.851,2.277,2.537,2.77,2.815,1.5,9.051,1079.58,170.6902239,998.14,1332.23,1508.7,859,1154.57,98.855,96.027,99.092,97.262,98.753,103.059,101.139,96.157,113.52,102.42,101.8,103.71,97.41,153.91,118.32,84.06,100.68,112.21,102.23,2427.36,857.06,2.6,62.23,0.919,249.529,3.46,2.86,93.6,93.9,15.55
18-Mar,104.189,103.634,95.161,94.396,96.987,97.68,101.501,105.698,89.199,98.282,98.139,94.932,98.183,97.943,94.932,108.582,103.632,98.174,97.844,94.932,100.642,101.212,4.1,27811.4,26554.5,796.2,309.2,132.8,151.5,18.7,90.07536497,86.01021153,93.94578943,82,88,88,85,93,98.3,104.155,100.2,91.5,160954.7,98355.4,62599.3,840991,2578361.8,1.65,1.81,1.875,2.271,2.501,2.708,2.831,1.5,9.051,1071.89,169.3651197,1010.98,1322.89,1498.42,829.06,1131.41,98.751,94.486,99.178,97.961,98.849,102.989,101.431,96.382,111.31,102.19,101.79,103.24,97.53,147.99,117.51,89.14,101.62,114.96,100.77,2445.85,871.09,2.6,62.73,0.833,249.577,3.45,2.84,93.9,94.1,17.54
18-Apr,105.371,105.286,96.793,99.844,100.377,97.127,102.848,104.693,90.687,101.236,100.744,95.748,101.392,100.554,95.748,107.587,104.292,101.315,100.452,95.748,101.165,104.271,3.8,28028.7,26867.6,693.9,325.8,123.9,141.3,17.4,90.12559961,86.16968392,93.88791293,79,85,88,83,91,101.2,108.669,100.7,93,161853.5,98403.5,63450,841002.2,2590840.7,1.65,1.82,1.873,2.192,2.436,2.655,2.794,1.5,9.013,1067.76,169.6211214,993.5,1311.84,1503.82,838.67,1104.31,98.931,94.962,99.187,97.514,98.426,102.709,101.636,96.617,111.43,102.2,101.83,103.26,98.04,144.23,127.38,92.16,101.3,113.72,100.96,2515.38,875.95,2.6,66.25,0.782,250.227,3.47,2.87,93.8,94.4,13.59
18-May,106.382,106.718,96.054,100.238,103.861,94.635,107.928,110.279,93.946,101.73,102.674,94.862,101.922,102.584,94.862,109.99,108.385,101.855,102.481,94.862,101.364,104.827,3.8,28184.4,27063.7,536.7,449.1,116.3,134.9,18.6,90.10291622,86.25181616,93.76185703,81,86,87,85,92,101.7,107.0279,100.5,93.5,161203.5,98973.5,62229.9,839880.5,2600274.3,1.65,1.82,1.887,2.25,2.532,2.757,2.86,1.5,9.073,1076.39,169.0186483,981.28,1271.8,1450.05,836.42,1079.04,98.979,94.073,99.206,98.222,98.406,103.619,101.675,96.572,115.99,103.21,102,104.68,98.68,145.07,139.95,96.63,102.75,111.31,102.72,2423.01,879.66,2.6,69.98,0.87,250.792,3.49,2.98,94.1,94.6,14.55
18-Jun,102.164,101.982,99.464,100.677,103.39,96.938,103.092,104.916,92.666,100.992,101.998,96.119,100.989,101.714,96.119,108.604,108.913,101.021,101.708,96.119,103.801,107.051,3.6,28160.5,27126.3,484.7,414.8,124,134.7,10.8,90.08294858,86.32974129,93.64555485,82,89,88,87,87,101,104.429,100.8,92.8,164288,99570.7,64717.3,846240.2,2622268.3,1.65,1.82,1.851,2.175,2.442,2.656,2.805,1.5,9.016,1092.8,169.2705771,993.26,1275.06,1451.16,832.01,1103.48,98.779,92.866,99.226,97.822,98.57,104.329,101.695,96.707,121.21,103.86,101.92,105.86,99.8,154.86,140.56,97.94,103.87,111.99,103.52,2326.13,818.22,2.6,67.87,0.805,251.018,3.46,2.91,94.3,94.9,16.04
18-Jul,102.792,104.956,97.621,101.018,101.601,95.905,101.516,106.145,92.341,101.382,101.13,94.83,101.04,100.65,94.83,110.844,110.497,100.94,100.549,94.83,108.73,111.13,3.8,28122.5,27083.4,530.4,368.3,132.4,140.4,8,90.06494804,86.42152993,93.51975027,80,87,87,86,86,101.4,106.1977,100.8,96.5,165401.8,100157.4,65244.4,843752.8,2637421.8,1.65,1.82,1.842,2.097,2.338,2.549,2.75,1.5,8.957,1122.8,167.0827975,1007.84,1312.03,1478.9,854.62,1129.06,98.59,93.148,99.111,98.25,97.568,104.249,101.714,96.455,125.08,104.73,102.29,107.08,100.12,149.79,143.46,100.58,105.8,112.79,106.12,2295.26,775.52,2.6,70.98,0.707,251.214,3.44,2.89,94.5,95.1,13.05
18-Aug,101.358,102.753,100.258,100.274,104.331,95.307,104.86,108.492,92.402,101.721,103.542,95.731,101.448,103.261,95.731,104.727,101.124,101.346,103.253,95.731,107.388,109.09,4.6,28039.4,26906.8,630.4,317,176,185.2,9.2,90.08620137,86.62831215,93.35935365,73,83,86,84,88,101.7,104.7468,100.9,95,166260,100771.7,65488.3,837607.5,2651503.4,1.65,1.81,1.83,2.019,2.242,2.458,2.656,1.5,8.846,1121.15,163.6791156,1009.76,1296.08,1445.36,860.11,1134.22,99.462,98.026,99.111,98.195,97.617,104.519,101.812,96.698,125.23,104.81,102.85,107.17,99.26,145.76,142.01,104.64,105.68,116.87,106.06,2322.88,816.97,2.7,68.06,0.628,251.663,3.36,2.89,94.4,95.2,11.64
18-Sep,97.629,100.771,95.75,100.174,103.484,95.659,101.918,106.369,92.87,99.621,101.709,95.432,99.774,101.617,95.432,105.651,105.349,99.759,101.611,95.432,99.579,103.344,4.1,28079.4,27055.3,520,321.6,172.4,182.5,10,90.36490511,87.23472835,93.31879909,77,84,85,84,88,99.6,101.304,101,95.2,168789,100669.3,68119.7,845523.7,2652829.5,1.65,1.81,1.79,1.953,2.128,2.315,2.403,1.5,8.476,1120.6,163.356126,1002.78,1304.74,1461.3,858.16,1157.09,100.221,101.424,99.178,97.952,97.568,104.669,101.89,96.807,125,104.95,103.13,107.28,97.71,150.84,151.22,111.03,106.06,117.84,106.26,2343.07,822.27,2.5,70.23,0.525,252.182,3.29,3,94.6,95.4,11.24
18-Oct,101.817,102.423,93.521,101.387,104.802,96.316,104.597,107.374,97.421,101.864,104.025,97.133,101.826,103.841,97.133,103.759,107.989,101.833,103.736,97.133,104.528,107.144,4,28062.6,27090,461.4,348.2,148.2,163,14.8,90.53623043,87.59844151,93.30382072,77,83,85,85,88,101.9,100.95,101.4,96.1,169935.5,102500.9,67434.5,840678.4,2674506.5,1.68,1.82,1.853,2.01,2.164,2.338,2.452,1.5,8.515,1130.81,163.5493426,1002.97,1299.55,1472.13,869.25,1138.38,100.041,98.748,99.178,98.353,97.472,106.099,101.948,96.626,127.82,105.28,102.75,107.88,99.34,153.53,156.87,114.13,107.01,117.4,106.79,2029.69,648.67,2.5,70.75,0.485,252.772,3.31,3.15,94.7,95.7,20.49
18-Nov,97.531,100.11,94.395,98.408,100.847,99.124,104.026,106.257,97.787,99.826,101.516,99.124,99.659,101.327,99.124,105.39,106.141,99.672,101.322,99.124,103.279,105.105,3.9,28092.3,27183.8,429,336.3,131,143.2,12.3,90.65108871,87.81377859,93.32168819,73,80,83,81,88,99.8,97.804,100.6,96.1,169968.4,102979.3,66989.1,840084.9,2692974.8,1.71,1.85,1.844,1.94,2.048,2.209,2.403,1.75,8.454,1128.58,162.2311842,996.02,1282.44,1456.07,855.29,1127.21,99.33,95.675,99.511,98.25,97.395,104.369,101.948,96.879,129.04,104.56,102.38,107.38,99.12,156.6,129.29,115.61,104.24,116.1,103.44,2096.86,695.76,2.4,56.96,0.365,252.594,3.28,3.12,94.7,96.1,18.57
18-Dec,94.632,99.449,94.766,96.42,96.704,100.069,102.709,104.134,100.131,97.593,98.332,100.011,97.203,97.943,100.011,101.06,91.619,97.197,97.941,100.011,103.044,105.939,3.7,27582.2,26638.1,455.8,316.3,155.9,171.9,16,90.64589268,87.87598142,93.25161329,73,81,84,82,89,97.6,99.0014,100.7,95.7,173553.8,103740.7,69813.2,846123.7,2699882.3,1.91,1.97,1.776,1.825,1.893,1.992,2.304,1.75,8.373,1122.9,163.055135,999.21,1277,1421.7,836.39,1131.08,98.988,95.842,99.55,98.232,97.357,101.329,101.997,96.707,119.64,103.08,102.24,104.99,97.46,156.71,112.47,114.81,101.96,119.8,100.54,2041.04,675.65,2.4,49.52,0.216,252.767,3.19,2.83,94.7,96.5,18.99
19-Jan,97.607,100,94.574,96.871,99.906,98.548,102.203,108.268,94.252,98.662,101.226,97.222,98.806,100.94,97.222,108.336,111.817,98.764,100.935,97.222,103.333,105.846,3.9,27455.3,26231.6,775.5,293,141.3,155.2,13.9,90.51262637,87.74846215,93.11290127,71,79,83,81,91,98.7,108.5849,101.9,94.7,171434.6,104958.8,66475.8,847765.3,2716722,1.87,1.97,1.733,1.807,1.879,1.991,2.263,1.75,8.343,1122,165.0859189,1030.47,1281.52,1446.36,842.59,1134.74,98.884,95.789,98.901,98.978,98.262,98.899,102.456,97.357,114.2,102.42,102.4,103.8,97,147.5,115.86,117.26,101.17,120.55,99.15,2204.85,716.86,2.3,51.38,0.258,252.718,3.12,2.71,94.8,96.7,15.51
19-Feb,93.374,95.925,92.267,93.784,98.305,99.154,98.465,104.469,93.101,95.557,97.753,97.277,95.518,97.363,97.277,103.951,100.992,95.464,97.265,97.277,102.136,106.032,3.8,27648.7,26345.6,861.7,287.9,138.8,153.4,14.7,90.40711414,87.63217123,93.01785959,68,79,82,80,90,95.6,100.3766,100.1,95,173780.4,104825.2,68955.2,855633.1,2730481.9,1.87,1.97,1.76,1.802,1.869,1.988,2.249,1.75,8.329,1122.45,166.5260601,1016.48,1272.47,1459.48,848.98,1119.99,99.311,96.441,99.521,100.367,98.358,98.699,102.563,97.664,114.06,102.54,102.31,103.91,96.58,148.2,126.69,120,101.99,117.27,99.58,2195.44,731.25,2.3,54.95,0.228,253.322,3.08,2.68,95,96.9,15.49
19-Mar,95.904,97.026,94.407,94.878,100.188,98.544,102.847,106.704,92.71,97.707,99.779,96.15,97.551,99.683,96.15,105.183,99.936,97.439,99.68,96.15,101.637,101.861,3.9,28001.7,26804.7,739.4,311.8,133,145.8,12.8,90.26223608,87.47696281,92.88305265,76,82,87,84,90,97.7,101.4732,101.1,93.3,175075.5,106033.3,69042.2,862572.7,2752723.9,1.9,1.98,1.769,1.789,1.838,1.953,2.244,1.75,8.318,1130.72,168.5950701,1017.35,1278.47,1490.71,845.91,1130.44,99.121,95.508,99.226,100.292,98.329,99.289,102.602,97.836,118.25,103.15,102.7,104.91,98.61,145.46,132.26,112.26,103.86,118.05,99.78,2140.67,729.31,2.3,58.15,0.184,254.202,3.04,2.57,95.3,97,14.29
19-Apr,96.968,98.568,99.279,99.282,100,100.884,105.063,106.369,94.088,100.524,100.358,99.077,100.097,99.973,99.077,102.308,95.711,100.126,99.969,99.077,104.506,108.349,4.1,28283.5,27038.3,788.8,335.1,113.1,121.3,8.2,90.07561229,87.27409658,92.71224209,76,82,86,83,89,100.5,101.7149,101.9,96.5,176128.8,106754.3,69374.5,866144.1,2763058,1.86,1.98,1.751,1.736,1.771,1.889,2.207,1.75,8.28,1140.95,170.0645332,1021.89,1281.77,1486.31,853.03,1132.63,99.481,96.318,98.959,100.74,98.406,100.769,102.66,98.052,119.92,103.72,103.02,105.59,99.75,151.32,141.43,104.33,104.71,116.69,100.46,2203.59,754.74,2.1,63.86,0.138,255.211,2.98,2.53,95.5,97.2,13.28
19-May,96.129,99.229,98.715,99.879,100.847,100.511,104.3,106.48,98.28,99.739,99.296,100.024,99.382,99.007,100.024,100.161,97.824,99.327,99.003,100.024,102.607,104.642,3.9,28467.5,27322.4,628.2,407.8,104.9,109.1,4.2,89.93153354,87.12506007,92.57305796,77,82,85,83,89,99.7,103.0315,102.1,97,176971.9,107254.3,69717.6,866643.4,2771633,1.84,1.95,1.711,1.679,1.716,1.828,2.153,1.75,8.224,1183.29,172.6469724,1075.9,1323.65,1518.85,879.28,1170.9,99.652,95.816,99.054,99.705,98.416,103.049,102.748,98.395,125.54,104.61,103.48,107,104.27,152.89,143.46,103.41,107.32,118.97,103.02,2041.74,696.47,2.2,60.83,0.117,255.29,2.93,2.4,95.6,97.5,17.32
19-Jun,93.4,97.467,95.89,99.633,101.507,100.11,102.402,105.251,96.426,99.086,100.261,98.643,98.893,100.167,98.643,101.428,95.975,98.923,100.066,98.643,100.39,102.788,3.9,28544.8,27407.6,550.1,466.3,114.7,120.8,6.2,89.81618864,87.03722431,92.43124715,73,81,84,81,89,99.1,103.3622,100.7,95,178861.6,107851.2,71010.4,873802.8,2799248,1.8,1.93,1.56,1.496,1.53,1.618,2.004,1.75,8.097,1175.62,170.1710359,1087.71,1327.32,1489.82,884.09,1188.97,99.491,94.768,99.102,99.444,98.714,103.299,102.797,98.152,123.9,103.99,103.2,106.27,103.9,141.05,126.91,104.16,105.04,117.12,100.73,2130.62,690.53,2.1,54.66,0.058,255.159,2.74,2.07,95.6,97.7,14.43
19-Jul,97.903,98.789,98.581,102.508,104.52,102.726,103.205,103.464,100.803,101.492,101.516,101.025,101.482,101.424,101.025,100.122,97.164,101.487,101.418,101.025,101.504,102.51,4,28480.1,27382.8,532.7,422.2,131,142.4,11.3,89.73471085,87.0240585,92.28395702,75,78,84,83,91,101.5,101.5185,101.8,99.1,177702.3,108374.6,69327.7,875495.7,2811543.7,1.68,1.86,1.478,1.382,1.421,1.506,1.885,1.5,7.989,1175.31,171.1725502,1085.91,1319.42,1467.71,897.45,1190.42,99.187,93.923,99.111,100.357,98.522,102.569,102.797,98.224,117.77,103.72,103.11,105.36,101.92,139.8,129.96,107.07,105.19,116.96,100.38,2024.55,630.18,2.1,57.35,0.028,255.685,2.64,2.06,95.7,97.9,15.29
19-Aug,97.064,98.678,98.713,99.413,103.484,100.362,100.174,109.609,95.396,99.497,102.674,99.654,99.336,102.681,99.654,100.446,99.276,99.335,102.674,99.654,102.863,102.603,3.5,28216,27358.4,360.8,333.1,149.9,163.7,13.8,89.69087568,87.06226958,92.16116388,71,76,83,82,89,99.5,101.7153,103.2,99.1,181778.2,109458.8,72319.4,877062.9,2832566.1,1.49,1.73,1.186,1.164,1.201,1.254,1.689,1.5,7.791,1208.98,171.3722681,1137.45,1345.55,1469.75,911.41,1234.71,99.425,94.821,99.111,100.012,98.531,102.579,102.826,98.188,122.08,104.29,103.83,106.33,104.52,139.32,124.92,115.34,106.46,119.36,101.75,1967.79,610.55,2,54.81,0.068,256.059,2.47,1.63,95.9,98.2,15.75
